Location,Period,ParentLocation,banned,Population,FemaleCons,MaleCons,TotCons
El Salvador,2000,Americas,FALSE,5958482,1.32,5.56,3.28
Eq. Guinea,2000,Africa,FALSE,684977,2.79,10.42,6.94
Eritrea,2000,Africa,FALSE,2392880,0.37,2.15,1.23
Estonia,2000,Europe,FALSE,1396985,5.11,18.4,11.26
eSwatini,2000,Africa,FALSE,1030496,2.73,13.66,8.09
Ethiopia,2000,Africa,FALSE,67031867,1.04,5.71,3.36
Fiji,2000,Western Pacific,FALSE,832509,1.16,5.74,3.45
Finland,2000,Europe,FALSE,5176209,4.14,14.38,9.16
France,2000,Europe,FALSE,60921384,5.14,18.04,11.3
Gabon,2000,Africa,FALSE,1272935,2.94,11.46,7.33
Gambia,2000,Africa,FALSE,1437539,0.34,1.91,1.11
Georgia,2000,Europe,FALSE,4077131,5.86,24.31,14.33
Germany,2000,Europe,FALSE,82211508,5.49,19.22,12.22
Ghana,2000,Africa,FALSE,19665502,1.75,7.41,4.55
Greece,2000,Europe,FALSE,10805808,3.12,11.34,7.12
Grenada,2000,Americas,FALSE,107432,3.31,12.84,8.06
Guatemala,2000,Americas,FALSE,11589761,0.63,2.67,1.63
Guinea,2000,Africa,FALSE,8336967,0.13,0.83,0.47
Guinea-Bissau,2000,Africa,FALSE,1230849,1.4,7.07,4.14
Guyana,2000,Americas,FALSE,759051,2.19,8.71,5.35
Haiti,2000,Americas,FALSE,8360225,1.4,5.57,3.45
Honduras,2000,Americas,FALSE,6656725,1.22,5.1,3.17
Hungary,2000,Europe,FALSE,10210971,4.68,17.22,10.6
Iceland,2000,Europe,FALSE,281205,3.7,12.28,8.07
India,2000,South-East Asia,FALSE,1059633675,1.56,8.1,4.92
Indonesia,2000,South-East Asia,FALSE,214072421,0.027,0.19,0.11
Iran,2000,Eastern Mediterranean,TRUE,65544383,0.15,1.25,0.7
Iraq,2000,Eastern Mediterranean,FALSE,24628858,0.061,0.43,0.24
Ireland,2000,Europe,FALSE,3805174,5.58,18.06,11.7
Israel,2000,Europe,FALSE,6289000,1.28,4.78,3.01
Italy,2000,Europe,FALSE,56942108,3.54,12.72,7.97
Jamaica,2000,Americas,FALSE,2612205,1.44,5.83,3.6
Japan,2000,Western Pacific,FALSE,126843000,2.89,10.74,6.68
Jordan,2000,Eastern Mediterranean,FALSE,5056174,0.072,0.52,0.31
Kazakhstan,2000,Europe,FALSE,14883626,1.43,8.06,4.52
Kenya,2000,Africa,FALSE,30851606,1,4.78,2.87
Kiribati,2000,Western Pacific,FALSE,88826,0.26,1.31,0.76
Kuwait,2000,Eastern Mediterranean,FALSE,1934901,0,0,0
Kyrgyzstan,2000,Europe,FALSE,4898400,1.47,8.7,4.95
Laos,2000,Western Pacific,FALSE,5430853,4.85,18.15,11.52
Latvia,2000,Europe,FALSE,2367550,5.99,21.73,13.09
Lebanon,2000,Eastern Mediterranean,FALSE,4320642,0.4,2.65,1.48
Lesotho,2000,Africa,FALSE,1998630,1.43,7.79,4.54
Liberia,2000,Africa,FALSE,2895224,1.43,5.94,3.64
Libya,2000,Eastern Mediterranean,TRUE,5154790,0.002,0.015,0.008
Lithuania,2000,Europe,FALSE,3499536,5.39,19.34,11.79
Luxembourg,2000,Europe,FALSE,436300,5.44,17.6,11.53
Madagascar,2000,Africa,FALSE,16216431,0.35,1.69,1.02
Malawi,2000,Africa,FALSE,11229387,1.16,5.52,3.24
Malaysia,2000,Western Pacific,FALSE,22945150,0.21,1.29,0.76
Maldives,2000,South-East Asia,TRUE,282507,0.27,2.22,1.43
Mali,2000,Africa,FALSE,11239101,1.22,7.42,4.35
Malta,2000,Europe,FALSE,390087,3.79,13.03,8.52
Mauritania,2000,Africa,TRUE,2695003,0,0,0
Mauritius,2000,Africa,FALSE,1186873,2.75,12.45,7.52
Mexico,2000,Americas,FALSE,97873442,2.3,9.38,5.72
Micronesia (Federated States of),2000,Western Pacific,FALSE,111709,0.72,3.53,2.12
Mongolia,2000,Western Pacific,FALSE,2450979,3.35,12.71,7.93
Morocco,2000,Eastern Mediterranean,FALSE,28554415,0.11,0.86,0.49
Mozambique,2000,Africa,FALSE,17768505,0.68,3.48,2.03
Myanmar,2000,South-East Asia,FALSE,45538332,0.77,3.5,2.12
Namibia,2000,Africa,FALSE,1819141,2,10.27,5.93
Nauru,2000,Western Pacific,FALSE,10377,1.04,4.82,2.94
Nepal,2000,South-East Asia,FALSE,24559500,0.48,2.4,1.36
Netherlands,2000,Europe,FALSE,15925513,4.23,14.51,9.3
New Zealand,2000,Western Pacific,FALSE,3857700,4.66,15.36,9.89
Nicaragua,2000,Americas,FALSE,5123222,1.64,6.84,4.17
Niger,2000,Africa,FALSE,11622665,0.034,0.23,0.13
Nigeria,2000,Africa,FALSE,122851984,1.37,7.02,4.21
Norway,2000,Europe,FALSE,4490967,3.09,10.49,6.8
Oman,2000,Eastern Mediterranean,FALSE,2344253,0.17,1.21,0.88
Pakistan,2000,Eastern Mediterranean,FALSE,154369924,0.028,0.18,0.1
Panama,2000,Americas,FALSE,3001731,2.65,10.6,6.6
Papua New Guinea,2000,Western Pacific,FALSE,5508297,0.57,2.75,1.7
Paraguay,2000,Americas,FALSE,5123819,2.37,8.85,5.6
Peru,2000,Americas,FALSE,26654439,3.46,11.58,7.45
Philippines,2000,Western Pacific,FALSE,77958223,2.4,9.92,6.18
Poland,2000,Europe,FALSE,38258629,5.15,18.67,11.63
Portugal,2000,Europe,FALSE,10289898,4.81,16.89,10.45
Qatar,2000,Eastern Mediterranean,FALSE,645937,0.26,1.4,1.15
South Korea,2000,Western Pacific,FALSE,47008111,3.63,12.79,8.19
Republic of Moldova,2000,Europe,FALSE,#N/A,5.09,18.49,11.36
Romania,2000,Europe,FALSE,22442971,7.51,27.3,16.99
Russia,2000,Europe,FALSE,146596869,4.17,17.95,10.42
Rwanda,2000,Africa,FALSE,8109989,0.69,3.18,1.88
Saint Kitts and Nevis,2000,Americas,FALSE,45461,2.66,10.28,6.34
Saint Lucia,2000,Americas,FALSE,159500,3.94,15.15,9.47
Saint Vincent and the Grenadines,2000,Americas,FALSE,113813,2.84,11.26,7.16
Samoa,2000,Western Pacific,FALSE,184008,0.81,3.93,2.39
Sao Tome and Principe,2000,Africa,FALSE,143714,2.09,7.95,5.01
Saudi Arabia,2000,Eastern Mediterranean,TRUE,21547390,0,0,0
Senegal,2000,Africa,FALSE,9704287,0.11,0.73,0.41
Seychelles,2000,Africa,FALSE,81131,4.72,18.41,11.99
Sierra Leone,2000,Africa,FALSE,4584067,0.066,0.47,0.26
Singapore,2000,Western Pacific,FALSE,4027887,0.8,2.85,1.87
Slovakia,2000,Europe,FALSE,5388720,4.61,16.74,10.48
Slovenia,2000,Europe,FALSE,1988925,4.69,17.33,10.98
Solomon Is.,2000,Western Pacific,FALSE,429978,0.55,2.65,1.62
Somalia,2000,Eastern Mediterranean,TRUE,8721465,0,0,0
South Africa,2000,Africa,FALSE,46813266,2.93,15.2,8.77
Spain,2000,Europe,FALSE,40567864,4.92,17.26,10.91
Sri Lanka,2000,South-East Asia,FALSE,18776371,1.02,4.83,2.83
Sudan,2000,Eastern Mediterranean,TRUE,26298773,0.001,0.009,0.005
Suriname,2000,Americas,FALSE,478998,2.57,10.77,6.63
Sweden,2000,Europe,FALSE,8872109,4.18,14.42,9.3
Switzerland,2000,Europe,FALSE,7184250,4.77,16.19,10.4
Syria,2000,Eastern Mediterranean,FALSE,16307654,0.044,0.36,0.2
Turkey,2000,Europe,FALSE,64113547,0.44,3.21,1.82
Tajikistan,2000,Europe,FALSE,6272998,0.24,1.5,0.87
Thailand,2000,South-East Asia,FALSE,63066603,3.04,13.01,7.85
Macedonia,2000,Europe,FALSE,2026350,1.63,7.66,4.62
Timor-Leste,2000,South-East Asia,FALSE,878360,0.15,0.65,0.4
Togo,2000,Africa,FALSE,5008035,0.52,2.31,1.42
Tonga,2000,Western Pacific,FALSE,102603,0.13,0.64,0.38
Trinidad and Tobago,2000,Americas,FALSE,1332203,2.42,9.86,6.06
Tunisia,2000,Eastern Mediterranean,FALSE,9893316,0.49,3.61,2.01
Turkmenistan,2000,Europe,FALSE,4569132,0.84,5.12,2.93
Tuvalu,2000,Western Pacific,FALSE,9638,0.4,2.06,1.25
Uganda,2000,Africa,FALSE,24020697,4.88,19.93,12.21
Ukraine,2000,Europe,FALSE,49176500,3.82,14.57,8.7
United Arab Emirates,2000,Eastern Mediterranean,FALSE,3275333,0.41,3.08,2.37
United Kingdom,2000,Europe,FALSE,#N/A,4.94,16.95,10.82
Tanzania,2000,Africa,FALSE,34463704,3.59,17.55,10.36
United States of America,2000,Americas,FALSE,282162411,4.29,15.03,9.57
Uruguay,2000,Americas,FALSE,3292224,2.49,8.71,5.45
Uzbekistan,2000,Europe,FALSE,24650400,0.71,4.54,2.6
Vanuatu,2000,Western Pacific,FALSE,192074,0.65,3.12,1.87
Venezuela,2000,Americas,FALSE,24427729,1.16,4.95,3.02
Vietnam,2000,Western Pacific,FALSE,79001142,3.78,15.26,9.34
Yemen,2000,Eastern Mediterranean,TRUE,18628700,0.006,0.049,0.028
Zambia,2000,Africa,FALSE,9891136,1.48,6.34,3.85
Zimbabwe,2000,Africa,FALSE,11834676,1.25,6.52,3.63
